"These are the fields that Telarus, our main distributor, uses to report by vendor.  We will need to create templates to match our fields to theirs.  We will display different field ""label names"" on these fields for our own understanding.",,,,,,,,
The fields in 7-10 are common fields that all templates will use.  ,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
Template Map Name,Origin,CompanyName,templateId,commissionType,fieldId,Telarus CommonFields,New Commissable Field Label,
Telarus-USA Digital,Telarus,USA Digital,1917,Residual,134,Commission Percent,Actual Commission Rate %,
Telarus-vCom Solutions,Telarus,vCom Solutions,1600,Residual,134,Commission Percent,Actual Commission Rate %,
Telarus-VocalIP,Telarus,VocalIP,1701,Residual,134,Commission Percent,Actual Commission Rate %,
Telarus-Vodafone,Telarus,Vodafone,2389,Residual,576,Commission Rate,Actual Commission Rate %,
Telarus-Vonage,Telarus,Vonage,2563,Residual,576,Commission Rate,Actual Commission Rate %,
Telarus-Vonage CAD,Telarus,Vonage CAD,2550,Residual,576,Commission Rate,Actual Commission Rate %,
Telarus-WiLine,Telarus,WiLine,1956,Residual,58,MRC Percent,Actual Commission Rate %,
Telarus-Wireless Watchdogs,Telarus,Wireless Watchdogs,2166,Residual,134,Commission Percent,Actual Commission Rate %,
Telarus-WOW Business,Telarus,WOW Business,2210,Residual,134,Commission Percent,Actual Commission Rate %,
Telarus-Xcitium,Telarus,Xcitium,2586,Residual,576,Commission Rate,Actual Commission Rate %,
Telarus-Zayo,Telarus,Zayo,2440,Residual,134,Commission Percent,Actual Commission Rate %,
Telarus-Zayo,Telarus,Zayo,2440,Residual,277,Rate,Actual Commission Rate %,
Telarus-Zayo CAD,Telarus,Zayo CAD,2401,Residual,134,Commission Percent,Actual Commission Rate %,
Telarus-Zayo UK,Telarus,Zayo UK,2407,Residual,277,Rate,Actual Commission Rate %,
Telarus-Zultys,Telarus,Zultys,2494,Residual,576,Commission Rate,Actual Commission Rate %,
Telarus-AireSpring,Telarus,AireSpring,2414,Residual,130,DA Usage,Actual Usage,
Telarus-AireSpring,Telarus,AireSpring,2414,Residual,124,EX Usage,Actual Usage,
Telarus-AireSpring,Telarus,AireSpring,2366,Residual,76,Total Billed MRC,Actual Usage,
Telarus-AireSpring,Telarus,AireSpring,2414,Residual,76,Total Billed MRC,Actual Usage,
Telarus-AireSpring,Telarus,AireSpring,2414,Residual,131,Total Usage,Actual Usage,
Telarus-AireSpring,Telarus,AireSpring,2366,Residual,137,Usage,Actual Usage,
Telarus-AireSpring,Telarus,AireSpring,2414,Residual,137,Usage,Actual Usage,
Telarus-Arelion,Telarus,Arelion,1746,Residual,599,Invoice Amount,Actual Usage,
Telarus-Brightspeed,Telarus,Brightspeed,2430,Residual,401,Compensable Revenue,Actual Usage,
Telarus-Broadvoice,Telarus,Broadvoice,1657,Residual,217,Data MRC,Actual Usage,
